Year,Quarter,GDP_Growth,Inflation,Industrial_Production,Unemployment_Rate,Recession_Indicator
2013,Q1,1.436350297,2.901428613,109.2797577,101.9731697,0
2013,Q2,0.890046601,1.311989041,82.32334449,107.3235229,0
2013,Q3,2.002787529,2.416145156,80.82337977,109.398197,0
2013,Q4,2.581106602,1.424678221,87.27299869,93.6680902,0
2014,Q1,1.260605607,2.049512863,97.27780075,95.8245828,1
2014,Q2,2.029632237,1.278987721,91.68578594,97.32723687,0
2014,Q3,1.640174961,2.570351923,87.98695129,100.2846888,0
2014,Q4,1.981036422,1.092900825,104.3017941,93.41048247,0
2015,Q1,0.662628982,2.897771075,118.6252813,106.167947,0
2015,Q2,1.261534423,1.195344228,107.3693211,98.80304987,1
2015,Q3,0.805095587,1.99035382,81.37554084,108.186408,0
2015,Q4,1.146949954,2.325044569,92.46844304,100.4013604,0
2016,Q1,1.866775698,1.369708911,118.7833851,105.5026565,0
2016,Q2,2.848747354,2.789654701,103.9159992,108.4374847,0
2016,Q3,0.721231255,1.391965725,81.80909156,96.50660662,1
2016,Q4,1.471693224,1.542698064,113.1495004,97.13506653,1
2017,Q1,1.202336274,2.085392166,85.636969,106.0439396,0
2017,Q2,0.686376609,2.973773873,110.8897908,93.97431363,1
2017,Q3,0.513805293,2.630922857,108.2742938,104.5801434,0
2017,Q4,2.428175867,1.148089303,94.33862914,92.31738119,0
2018,Q1,2.657758565,2.246596254,93.23592099,91.27116701,0
2018,Q2,1.277455804,1.650366644,109.1842471,102.7511494,0
2018,Q3,2.718031856,1.94442985,84.78376984,104.2648957,0
2018,Q4,2.401962622,2.122554395,110.8386872,99.87591193,0
2019,Q1,1.806832073,1.855082037,81.01676507,92.15782854,0
2019,Q2,0.578572964,2.272820823,92.57423924,100.1714138,0
2019,Q3,2.768916185,1.498584458,96.41531692,105.1110228,0
2019,Q4,1.071995414,1.15395982,91.59005812,93.22442575,1
2020,Q1,2.824244131,2.616240759,105.3361503,107.4292118,0
2020,Q2,2.509180192,1.373140118,115.7023599,100.7868448,0
2020,Q3,2.518600388,2.7921826,92.720139,92.20103849,0
2020,Q4,1.069837906,1.854215577,112.7205906,107.2146117,0
2021,Q1,0.517380326,2.021494605,96.69644013,94.44215621,1
2021,Q2,0.799663418,1.675230343,117.7163882,96.46405864,1
2021,Q3,1.796976554,2.406037918,94.5451841,109.4356417,0
2021,Q4,2.906118237,1.503564592,99.88994024,96.0175662,0
2022,Q1,1.212101236,1.073773895,104.3825734,100.0535805,0
2022,Q2,0.628696878,1.557292928,116.3306354,94.79123781,1
2022,Q3,0.86223718,1.978905521,119.4260182,94.84110543,1
2022,Q4,2.180338869,2.523239231,89.50550176,104.564327,0
2023,Q1,1.419457832,2.264611661,105.3411884,100.7154937,0
2023,Q2,0.725724425,2.670604991,92.8312026,93.73037021,1
2023,Q3,0.601937854,2.181785886,107.1025745,90.33175658,1
2023,Q4,1.780232646,1.45299155,105.8069116,93.48732858,0
2013,Q1,2.227344345,1.773470693,117.4691995,92.75041888,0
2013,Q2,1.352665878,1.226947042,116.9877447,107.5467871,0
2013,Q3,1.144854069,2.319968092,112.688888,101.1040162,0
2013,Q4,1.824126446,1.483704582,83.72411071,107.9443152,0
2014,Q1,2.751045143,2.266202915,93.56119164,96.98419149,0
2014,Q2,2.314889197,2.79422052,115.483457,105.5975109,0
2014,Q3,2.105079115,1.16827993,86.46514856,107.9710838,0
2014,Q4,2.016072649,1.018394103,84.05886171,103.2700354,0
2015,Q1,0.51265396,1.321616103,101.9493516,103.837904,0
2015,Q2,2.129903149,1.448538619,108.4871689,94.74498175,0
2015,Q3,1.313499245,2.49298281,105.985316,106.9844682,0
2015,Q4,2.144032231,2.136617207,83.74699071,97.35431606,0
2016,Q1,1.163005919,1.487979287,118.9204222,97.86195449,1
2016,Q2,2.730116388,2.262277252,111.7924521,100.0527419,0
2016,Q3,1.942259712,1.985035388,87.80971951,104.4490423,0
2016,Q4,1.201930906,1.048631933,105.8188918,93.54221359,1
2017,Q1,2.851146461,2.907857154,116.5945756,97.40317401,0
2017,Q2,0.538641541,2.856637125,97.12736593,109.3330964,0
2017,Q3,2.909049943,2.706018911,91.77795568,97.70195457,0
2017,Q4,2.627841679,1.63384401,86.77970987,101.1360252,0
2018,Q1,2.840386935,2.392059593,102.8024468,91.94352988,0
2018,Q2,2.037518067,2.9801077,85.60336061,100.366593,0
2018,Q3,2.69343268,2.481537236,107.8806296,104.0496817,0
2018,Q4,1.398727878,1.587183689,112.3744462,106.2022679,0
2019,Q1,2.667680796,2.826481105,100.453696,100.0303259,0
2019,Q2,2.495737947,2.299927862,108.0786751,105.9158534,0
2019,Q3,2.725013355,1.675990314,95.02331811,91.8796388,0
2019,Q4,1.945700352,1.071884548,98.62392073,100.8528927,0
2020,Q1,1.21635313,2.181666521,81.22001,90.74696377,1
2020,Q2,2.556501402,1.720381283,85.08242051,100.4448652,0
2020,Q3,2.424983883,1.431642055,104.915619,91.7069493,0
2020,Q4,0.629204303,2.062709263,101.6254049,102.748598,0
2021,Q1,2.315228334,2.951704159,100.6520139,96.45912946,0
2021,Q2,2.487965487,1.541664503,97.55885683,91.56912763,0
2021,Q3,0.563376859,2.925296829,113.4392048,103.9194841,0
2021,Q4,1.522382361,1.34658864,86.25748171,95.00485796,0
2022,Q1,1.873066662,2.429191845,106.4078951,95.59867794,0
2022,Q2,2.887163202,2.475793833,102.1741621,102.2344149,0
2022,Q3,1.549000156,1.495461979,94.23890715,105.1569222,0
2022,Q4,0.535983722,1.232145281,81.84010568,90.81457605,1
2023,Q1,2.63865146,2.407315719,98.96695316,91.95668321,0
2023,Q2,1.729039688,1.946943542,86.9280748,98.67703298,0
2023,Q3,1.496261836,2.231700196,105.403746,90.9060802,1
2023,Q4,1.436531537,2.251719831,100.1254503,107.1297968,0
2013,Q1,2.146734079,1.325868854,82.8227499,102.8483856,0
2013,Q2,0.566278276,2.171551163,117.6092097,101.5094836,0
2013,Q3,1.470424816,2.286576437,98.33011562,100.9123358,0
2013,Q4,2.853662022,1.772205276,118.4476226,108.1070128,0
2014,Q1,0.989477837,1.138722602,84.03112006,90.36443651,1
2014,Q2,0.736107402,2.366013547,82.84754594,96.37951261,1
2014,Q3,2.612188277,1.046543871,112.5787393,95.6370955,0
2014,Q4,0.795412069,2.393474331,105.1577139,107.5494403,0
2015,Q1,2.33767761,2.606961861,91.2813829,93.54879088,0
2015,Q2,2.376536879,2.613669479,119.6202057,98.25235354,0
2015,Q3,1.430045214,2.552825921,93.63214161,108.6151465,0
2015,Q4,2.64603188,1.857988055,110.0348427,105.0908575,0
2016,Q1,0.757809672,2.805105813,100.2100949,106.5291493,0
2016,Q2,1.300124003,2.791046457,95.56806715,90.21675303,1
2016,Q3,2.763454941,1.182573354,92.7725455,109.0012393,0
2016,Q4,2.876517867,2.146875776,105.2734885,98.96891044,0
2017,Q1,1.233026929,1.657329091,106.9007382,105.0474906,0
2017,Q2,2.478947609,2.579236286,83.64824412,99.88840609,0
2017,Q3,0.6438969,2.099057765,97.66122005,107.7540837,0
2017,Q4,1.377287531,1.234134033,85.71966728,105.2302126,0
2018,Q1,2.045545158,1.202245352,83.36427224,104.0193826,0
2018,Q2,0.681907516,2.643720119,108.2496891,91.62697561,1
2018,Q3,0.712094285,2.973279157,94.97083183,97.41284294,1
2018,Q4,2.531998918,2.894497155,119.4400426,105.0675637,0
2019,Q1,1.440648964,1.167001433,111.0858766,101.168085,0
2019,Q2,1.560555023,2.81270877,84.44789929,99.85250209,0
2019,Q3,0.528384112,1.937321284,82.25213103,92.37635833,1
2019,Q4,0.793815617,2.298420604,109.8417952,101.6673753,0
